index,company,body-style,wheel-base,length,engine-type,num-of-cylinders,horsepower,average-mileage,price
1,Toyota,Sedan,108.1,188.8,V6,6,190,28,22000
2,Honda,Hatchback,97.0,169.1,I4,4,150,32,18000
3,Ford,SUV,112.5,189.7,V8,8,300,22,35000
4,BMW,Coupe,101.2,174.5,In-line-6,6,250,26,45000
5,Audi,Convertible,104.5,179.5,V6,6,NA,27,40000
6,Chevrolet,Convertible,100.4,171.0,V8,8,350,24,NA
7,Mercedes,sedan,108.7,193.2,V8,8,400,21,55000
8,Nissan,Hatchback,99.0,170.4,I4,4,180,30,25000
9,Subaru,Wagon,104.1,184.3,Boxer-4,4,170,25,27000
10,Tesla,Sedan,116.5,191.2,Electric,0,450,130,60000
11,Ford,Hatchback,98.0,171.0,I4,4,160,29,19000
12,Toyota,SUV,110.0,182.0,V6,6,210,26,24000
13,Chevrolet,Sedan,104.3,178.5,I4,4,130,33,16000
14,Honda,Coupe,98.5,175.2,I4,4,145,32,20000
15,BMW,Sedan,105.0,179.1,In-line-6,6,NA,28,46000
16,Audi,Convertible,99.5,171.8,I4,4,190,27,42000
17,Mercedes,Coupe,102.5,176.3,V8,8,300,24,52000
18,Tesla,SUV,116.0,193.8,Electric,0,500,120,75000
19,Nissan,Sedan,104.0,179.0,I4,4,170,30,23000
20,Toyota,Wagon,104.8,182.4,V6,6,210,25,28000
21,Kia,Sedan,107.2,184.5,I4,4,180,32,22000
22,Subaru,SUV,111.0,183.7,Boxer-4,4,200,22,33000
23,Ford,Sedan,106.8,178.0,V6,6,240,27,26000
24,Chevrolet,SUV,112.0,189.0,V6,6,250,20,34000
25,Audi,Hatchback,98.5,170.8,I4,4,160,29,21000
26,BMW,Convertible,101.5,174.7,In-line-6,6,270,25,47000
27,Honda,Wagon,104.3,183.4,I4,4,190,31,23000
28,Nissan,SUV,110.1,188.0,V6,6,220,24,31000
29,Toyota,Sedan,106.4,176.5,I4,4,160,33,18000
30,Honda,SUV,109.8,183.2,V6,6,230,26,33000
31,Ford,Sedan,107.5,179.9,V6,6,210,28,24000
32,Subaru,Sedan,106.0,174.5,Boxer-4,4,150,30,20000
33,Mercedes,Wagon,111.4,193.0,V8,8,350,23,45000
34,Tesla,Coupe,115.3,191.5,Electric,0,400,130,65000
35,Kia,Hatchback,98.3,169.9,I4,4,130,34,18000
36,Chrysler,SUV,113.2,188.0,V6,6,260,22,35000
37,Nissan,Convertible,99.8,171.5,I4,4,175,29,22000
38,Audi,SUV,110.0,180.4,V6,6,240,23,38000
39,Ford,Wagon,107.8,184.2,V8,8,350,21,40000
40,Chevrolet,Sedan,105.6,178.2,I4,4,150,31,21000
41,Toyota,Coupe,101.2,173.8,I4,4,170,32,25000
42,Honda,Sedan,108.1,182.9,I4,4,180,29,24000
43,BMW,SUV,112.3,185.7,Inline-6,6,280,24,50000
44,Chevrolet,Hatchback,100.0,170.0,I4,4,160,30,20000
45,Nissan,Coupe,99.2,170.7,I4,4,150,34,18000
46,Tesla,SUV,116.7,192.3,Electric,0,480,120,70000
47,Ford,Convertible,102.5,174.0,V8,8,400,20,38000
48,BMW,Sedan,103.8,179.3,In-line-6,6,260,25,47000
49,Audi,Coupe,105.2,181.4,I4,4,180,28,42000
50,Chevrolet,Wagon,110.2,185.6,V6,6,220,22,32000
1,Toyota,Sedan,108.1,188.8,V6,6,190,28,22000
2,Toyota,Sedan,NA,NA,V6,6,190,28,NA
5,Audi,Convertible,104.5,179.5,V6,6,NA,27,40000
8,Nissan,Hatchback,99.0,170.4,I4,4,180,30,25000
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Chevrolet,Convertible,100.4,171.0,V8,8,350,24,NA
